CSD ID, lambda_force (eV)
ABEDIU,0.48711
ABEDOA,0.46882
ABUHEN,0.28133
ABUVOJ,0.69118
ACOSER,0.54317
ACULUH,0.12799
ADIQEK,0.58188
ADIQIO,0.61859
AFENAB,0.74435
AFIRUF,0.07923
AFUSAW,0.27728
AGABUI,0.37929
AGAGUK,0.11982
AGINOW,0.22152
AGIVAP,0.06327
AHAPEG01,0.25045
AHAQIM,0.15353
AHEDOJ,0.19187
AHERIO,0.17456
AHIWUL,0.61881
AHIXAS,1.19569
AHIXEW,13.72524
AHUMIC,0.27016
AJORAV,0.09743
AJORIA,0.36056
AJOSAW,0.08684
AKUCIU,0.28466
AKUCOA,0.26346
ALIYOL,0.39158
AMUHOG,0.42512
ANAGUT,0.206
ANUCUJ,0.58375
ANUDAQ,0.23194
ANUDEU,0.22235
ANUDIY,0.24742
ANUYEO,0.57344
APACEB,0.30771
APUVOY,0.75715
AQEDEH,0.18191
AQEQOE,0.24403
AQEQUK,0.19927
AQEYUS,0.1853
AQIJUH,0.30543
AQOREE,0.53106
AREDOS,0.31916
AREDUY,0.31697
ARIDIP,0.33063
ARIFEN,0.408
ARIFIR,0.55293
ASAWUO,0.36086
ASIWAB,0.43535
ASOTIJ,0.35319
ATINIC,0.2017
ATINUO,0.20213
ATISIH,0.31445
ATITII,0.50776
ATOQEG,0.30492
ATUKUW,0.20238
ATUXET,0.23296
AVIMEZ,0.21423
AVOVIQ,0.61217
AVUFON,0.64329
AWIQOO02,0.50266
AWOFUP01,0.31309
AWUQEQ,0.38229
AWURAN,0.41856
AXEFIT,0.13215
AXEFUF,0.14855
AXOTEN,1.09138
AYAMIX,0.71618
AYESOO,1.08414
AYUCAZ,0.46092
AYUDEE,0.27882
BAFGOE,0.10393
BAHYEP01,0.37921
BANHAZ,0.10792
BANYIZ,0.71408
BAQQIU,0.25157
BARNUE,0.26885
BARPAM01,0.31271
BARPEQ,0.3527
BARSOD,0.25088
BARVIA02,0.30018
BATNES,0.17181
BATNIW,0.28792
BATPET,0.528
BAZLOD,0.49989
BEBKOJ,0.40548
BEBKUP,0.73869
BECSAG,0.7968
BEDRIL01,0.41847
BEDVEN,0.11655
BEFDOI,0.27117
BEGLOQ,0.17955
BEHNEK,0.22492
BEKTUH,0.25533
BEKVAP,0.24156
BEKVET,0.26156
BELLOU,0.46782
BEPNAL,0.36712
BERZON,0.20958
BETKIV,0.38104
BETLAO,0.92314
BETSUO,0.35396
BEZYAH,0.2876
BEZYEL,0.59562
BEZYOV,0.58874
BIBZUJ03,0.25738
BIHKEL,0.20175
BIJHAG,0.31385
BIJMUF,0.43249
BIJYUR,0.4032
BILROF,0.22801
BILVUP,0.2372
BIZDAQ,0.35094
BIZLOM,0.38041
BOHMAP,0.27098
BOLPID,0.23291
BOMSOO,0.29828
BOMSUU,0.28915
BOPQEC,0.38592
BOPSEF,0.09272
BOPYEN,0.23632
BOWLAB,0.18951
BOWLEF,0.13366
BOWLIJ,0.39677
BUCMEU,0.40022
BUCVOM,0.65887
BUFFOY,1.24927
BUFJAP,0.28995
BUFXAE,0.27952
BUFXEI,0.27659
BUFXIM,0.2737
BUFXOS,0.25907
BUGGES,0.14596
BUJKOI,0.4821
BUNVAH01,0.35066
BUQWAN,0.1851
BURPUA,0.25163
BUSQIS,0.15825
BUSQOY,0.22927
BUSQUE,0.1735
BUTMAH,0.31682
BUVQOY,0.15968
BUVRAO,0.25556
BUWGEH,0.08706
BUXYAW,0.07768
BUYBII,0.18794
CABXEJ,0.30669
CADGIZ,1.71483
CADGOF,1.34328
CAGKEC,0.28992
