CSD ID, lambda_force (eV), lambda_4p (eV)
BESGUE,0.02498,0.02565
OPOPOZ,0.02558,0.02594
SEGTAC,0.02684,0.02808
SURRAA,0.02987,0.03247
MAXDIB,0.03611,0.03805
PHTHCY01,0.04379,0.04171
WEMWIX,0.041,0.04327
VIFSEI,0.04423,0.0433
SUTHAT,0.03349,0.04396
SOYSUW,0.04533,0.04485
QIQSER,0.04099,0.04519
IPUVAS,0.03847,0.04563
WOJWIE,0.04573,0.04587
SUJJUE,0.04588,0.04608
XABSIF,0.04484,0.04646
QALLOH,0.04925,0.04654
ZIFGIG,0.04806,0.04706
NUVXUA,0.04467,0.04788
COLXOS,0.04892,0.04814
KETDIY,0.04596,0.04822
BAMTAN,0.04593,0.04845
VAGRUR01,0.04574,0.04881
WEPGUU04,0.04763,0.04977
MUSKES,0.04569,0.05017
YILZEA,0.04794,0.05038
BAMTER,0.0504,0.05095
CIVNON,0.04756,0.05171
GETCIU,0.05063,0.05206
NUXXEM,0.04539,0.05207
TOSWEF,0.04883,0.05258
XEVSAU,0.0518,0.05259
YIZVAH,0.04928,0.05271
GUNFUS,0.0449,0.05307
KETDEU,0.04742,0.05359
MAXDAT,0.03929,0.05407
SOJSAO,0.04852,0.05411
KULNOX,0.0539,0.05479
DIXKON,0.04929,0.05485
SEZGOV,0.05519,0.05535
KULNUD,0.05403,0.05564
LIJQAZ,0.04997,0.05582
WOKRIA,0.05336,0.05637
SULKER,0.05765,0.05664
BAMSIU,0.06405,0.05686
IGUTIO,0.06106,0.0571
NOLJUV,0.03645,0.05713
SULKIV,0.05013,0.05755
DOGVED,0.05196,0.05764
JUDYEP,0.05135,0.05769
GIVSUC,0.04583,0.05777
SUJJAK,0.04774,0.05787
CUFBOV01,0.05274,0.0579
GUNGED,0.04183,0.05807
WUPPEF,0.0457,0.05883
NALVAA,0.06212,0.05909
WORRED,0.06063,0.05911
IGUTOU,0.06314,0.05986
NALVEE,0.0656,0.06053
KETDAQ,0.0528,0.06092
BAMSEQ,0.04973,0.06158
XUQVOX,0.05489,0.06244
HUCVIM,0.06705,0.06262
NUNQAR,0.04651,0.06297
MAXDEX,0.06124,0.06305
LOBPOK,0.04979,0.06307
LORCAZ,0.04614,0.06328
WOKREW,0.06029,0.06358
JURCEH,0.06255,0.06366
RAFHUD,0.06273,0.06387
QIRQAJ,0.06147,0.06402
PEXXEY,0.05594,0.06428
LUHTEQ,0.05538,0.06432
HUCVUY,0.06228,0.06447
ROZHIZ,0.05397,0.06455
KUVKAQ,0.06606,0.06488
JULBAW,0.05711,0.0649
SUMTEB,0.04697,0.06491
SUJHOW,0.05528,0.06498
NOLJOP,0.06199,0.06514
JUSLER,0.04595,0.06524
QANCIT,0.05053,0.06525
JUSLOB,0.04579,0.06543
RUQYEK,0.0688,0.0655
ROZGUK,0.06283,0.06556
RIYYAC,0.05573,0.06559
ZUWFAB,0.03587,0.06572
LEFYAZ,0.04889,0.06573
KUFWUG,0.05544,0.06592
FIDLEL,0.05672,0.06603
SURREE,0.05734,0.06618
XONREA,0.05832,0.06621
XELCEY,0.05519,0.06624
TURWOV,0.0555,0.06697
CESGUF,0.0658,0.06707
SUHVOI,0.06837,0.06747
POQMOZ,0.06959,0.06761
NUSWOQ,0.05436,0.06776
HEZDOI,0.06418,0.06821
YIWFIV,0.04597,0.06824
TUTVUC,0.05293,0.06843
PIFJUK,0.04508,0.06871
ZUNDIY,0.04479,0.06908
HEZDUO,0.0592,0.06919
RADVOL,0.04957,0.07003
WORPUR,0.05665,0.07028
MUZTEJ,0.07522,0.07063
UDICIW,0.05765,0.07083
ONOYOH,0.05545,0.07133
JULCOL,0.05566,0.07189
OBEPUJ01,0.07004,0.07239
CITCUG,0.07186,0.0726
WUVTOY,0.04935,0.07263
COXLIN,0.07066,0.07322
FUJVIS,0.05455,0.07336
SANROQ,0.04657,0.07345
LUSXUV,0.05476,0.07352
